,0
0,0.26
1,0.24
2,0.24666666666666667
3,0.19333333333333333
4,0.3333333333333333
5,0.20666666666666667
6,0.30666666666666664
7,0.2733333333333333
8,0.2733333333333333
9,0.19333333333333333
10,0.24666666666666667
11,0.20666666666666667
12,0.24
13,0.2733333333333333
14,0.24666666666666667
15,0.28
16,0.29333333333333333
17,0.23333333333333334
18,0.24
19,0.26666666666666666
20,0.24666666666666667
21,0.2866666666666667
22,0.24
23,0.2866666666666667
24,0.29333333333333333
25,0.26
26,0.20666666666666667
27,0.25333333333333335
28,0.29333333333333333
29,0.26
30,0.24666666666666667
31,0.26666666666666666
32,0.2733333333333333
33,0.18
34,0.24666666666666667
35,0.28
36,0.24666666666666667
37,0.2866666666666667
38,0.35333333333333333
39,0.26
40,0.20666666666666667
41,0.28
42,0.29333333333333333
43,0.25333333333333335
44,0.23333333333333334
45,0.3333333333333333
46,0.24666666666666667
47,0.23333333333333334
48,0.29333333333333333
49,0.22666666666666666
