,0
0,0.14666666666666667
1,0.17333333333333334
2,0.16666666666666666
3,0.21333333333333335
4,0.22666666666666666
5,0.16
6,0.24666666666666667
7,0.20666666666666667
8,0.19333333333333333
9,0.24
10,0.14
11,0.16
12,0.24
13,0.20666666666666667
14,0.22666666666666666
15,0.14
16,0.18666666666666668
17,0.16
18,0.16666666666666666
19,0.18666666666666668
20,0.24
21,0.17333333333333334
22,0.14666666666666667
23,0.2
24,0.25333333333333335
25,0.20666666666666667
26,0.19333333333333333
27,0.19333333333333333
28,0.22
29,0.12666666666666668
30,0.18666666666666668
31,0.16666666666666666
32,0.19333333333333333
33,0.19333333333333333
34,0.22666666666666666
35,0.29333333333333333
36,0.2
37,0.18
38,0.14666666666666667
39,0.2733333333333333
40,0.15333333333333332
41,0.26
42,0.22666666666666666
43,0.15333333333333332
44,0.18
45,0.22666666666666666
46,0.16
47,0.18666666666666668
48,0.2
49,0.2733333333333333
