,0
0,0.44
1,0.4266666666666667
2,0.43333333333333335
3,0.41333333333333333
4,0.5
5,0.42
6,0.4866666666666667
7,0.47333333333333333
8,0.5333333333333333
9,0.44
10,0.47333333333333333
11,0.5466666666666666
12,0.44666666666666666
13,0.44
14,0.41333333333333333
15,0.46
16,0.47333333333333333
17,0.52
18,0.4
19,0.52
20,0.44666666666666666
21,0.5733333333333334
22,0.42
23,0.4533333333333333
24,0.5066666666666667
25,0.44666666666666666
26,0.4866666666666667
27,0.4666666666666667
28,0.4533333333333333
29,0.5333333333333333
30,0.46
31,0.5266666666666666
32,0.5066666666666667
33,0.49333333333333335
34,0.5
35,0.54
36,0.5466666666666666
37,0.4666666666666667
38,0.49333333333333335
39,0.5066666666666667
40,0.47333333333333333
41,0.49333333333333335
42,0.4666666666666667
43,0.5133333333333333
44,0.44666666666666666
45,0.5133333333333333
46,0.4533333333333333
47,0.44666666666666666
48,0.47333333333333333
49,0.43333333333333335
