,0
0,0.20666666666666667
1,0.21333333333333335
2,0.19333333333333333
3,0.18666666666666668
4,0.16666666666666666
5,0.14666666666666667
6,0.20666666666666667
7,0.24
8,0.19333333333333333
9,0.16666666666666666
10,0.2
11,0.22
12,0.19333333333333333
13,0.21333333333333335
14,0.14666666666666667
15,0.12
16,0.20666666666666667
17,0.16
18,0.21333333333333335
19,0.19333333333333333
20,0.18
21,0.16666666666666666
22,0.18666666666666668
23,0.17333333333333334
24,0.21333333333333335
25,0.13333333333333333
26,0.16
27,0.18666666666666668
28,0.16666666666666666
29,0.20666666666666667
30,0.19333333333333333
31,0.16
32,0.23333333333333334
33,0.22
34,0.16666666666666666
35,0.17333333333333334
36,0.17333333333333334
37,0.22
38,0.19333333333333333
39,0.11333333333333333
40,0.21333333333333335
41,0.17333333333333334
42,0.16
43,0.16
44,0.24
45,0.21333333333333335
46,0.21333333333333335
47,0.18666666666666668
48,0.16666666666666666
49,0.2
