,0
0,0.18666666666666668
1,0.20666666666666667
2,0.19333333333333333
3,0.18666666666666668
4,0.23333333333333334
5,0.20666666666666667
6,0.23333333333333334
7,0.07333333333333333
8,0.19333333333333333
9,0.17333333333333334
10,0.16
11,0.21333333333333335
12,0.15333333333333332
13,0.14666666666666667
14,0.16666666666666666
15,0.2
16,0.18666666666666668
17,0.14
18,0.18
19,0.13333333333333333
20,0.24
21,0.16666666666666666
22,0.23333333333333334
23,0.16
24,0.22666666666666666
25,0.18666666666666668
26,0.1
27,0.17333333333333334
28,0.2
29,0.22
30,0.21333333333333335
31,0.17333333333333334
32,0.21333333333333335
33,0.18666666666666668
34,0.16
35,0.18
36,0.14666666666666667
37,0.17333333333333334
38,0.22
39,0.17333333333333334
40,0.16
41,0.21333333333333335
42,0.18
43,0.16666666666666666
44,0.17333333333333334
45,0.12
46,0.18666666666666668
47,0.19333333333333333
48,0.18
49,0.18666666666666668
