,0
0,0.26
1,0.3333333333333333
2,0.31333333333333335
3,0.29333333333333333
4,0.2866666666666667
5,0.26
6,0.14666666666666667
7,0.26666666666666666
8,0.26666666666666666
9,0.24
10,0.24666666666666667
11,0.30666666666666664
12,0.31333333333333335
13,0.25333333333333335
14,0.28
15,0.22666666666666666
16,0.16666666666666666
17,0.24666666666666667
18,0.24
19,0.25333333333333335
20,0.22
21,0.28
22,0.22666666666666666
23,0.18
24,0.18666666666666668
25,0.22
26,0.25333333333333335
27,0.22
28,0.23333333333333334
29,0.2
30,0.26
31,0.24
32,0.2733333333333333
33,0.22666666666666666
34,0.23333333333333334
35,0.22
36,0.19333333333333333
37,0.2
38,0.25333333333333335
39,0.24
40,0.19333333333333333
41,0.2866666666666667
42,0.26
43,0.20666666666666667
44,0.34
45,0.18666666666666668
46,0.26666666666666666
47,0.22666666666666666
48,0.26666666666666666
49,0.23333333333333334
