,reserve,energy
0,5.910888739701028,1.10225861977491
1,5.913113479184029,1.102258456503139
2,5.9279798847047775,1.1022563688138804
3,5.920577692368572,1.102257631740478
4,5.925587644266567,1.1022568122429934
5,5.9303214866511516,1.1022559564163799
6,5.9315763258049,1.1022557358224132
7,5.9338030925515435,1.1022553468795373
8,5.9390309577887805,1.1022543890871002
9,5.979221879086383,1.1022540294622851
10,5.95726792248643,1.1022508080581188
11,5.954307397359913,1.1022517828658922
12,5.953573050747706,1.102252340311304
13,5.953564958906613,1.1022523402353794
