,0
0,0.34
1,0.3466666666666667
2,0.3
3,0.30666666666666664
4,0.2733333333333333
5,0.2866666666666667
6,0.2733333333333333
7,0.3
8,0.3466666666666667
9,0.41333333333333333
10,0.38
11,0.2866666666666667
12,0.26666666666666666
13,0.34
14,0.28
15,0.31333333333333335
16,0.28
17,0.2866666666666667
18,0.32666666666666666
19,0.3
20,0.32
21,0.29333333333333333
22,0.2733333333333333
23,0.4066666666666667
24,0.3
25,0.26666666666666666
26,0.26666666666666666
27,0.4266666666666667
28,0.3466666666666667
29,0.24666666666666667
30,0.34
31,0.38
32,0.3
33,0.34
34,0.3333333333333333
35,0.31333333333333335
36,0.32
37,0.28
38,0.3
39,0.36
40,0.26666666666666666
41,0.36
42,0.34
43,0.41333333333333333
44,0.28
45,0.3466666666666667
46,0.31333333333333335
47,0.32666666666666666
48,0.30666666666666664
49,0.26666666666666666
