,0
0,0.4266666666666667
1,0.4866666666666667
2,0.52
3,0.4533333333333333
4,0.4533333333333333
5,0.47333333333333333
6,0.46
7,0.46
8,0.54
9,0.5
10,0.44666666666666666
11,0.4666666666666667
12,0.47333333333333333
13,0.52
14,0.44
15,0.49333333333333335
16,0.46
17,0.47333333333333333
18,0.5133333333333333
19,0.48
20,0.49333333333333335
21,0.49333333333333335
22,0.44
23,0.46
24,0.43333333333333335
25,0.5
26,0.4666666666666667
27,0.5466666666666666
28,0.44666666666666666
29,0.48
30,0.5066666666666667
31,0.46
32,0.5066666666666667
33,0.4666666666666667
34,0.4533333333333333
35,0.5333333333333333
36,0.5933333333333334
37,0.5333333333333333
38,0.52
39,0.3933333333333333
40,0.4666666666666667
41,0.4866666666666667
42,0.4066666666666667
43,0.5066666666666667
44,0.4866666666666667
45,0.47333333333333333
46,0.4866666666666667
47,0.44
48,0.5
49,0.4666666666666667
