,0
0,48.43858424119376
1,48.434754689914385
2,48.440418551242985
3,48.4339902021092
4,48.41786287862558
5,48.443148486534206
6,48.42372129049062
7,48.43430158107118
8,48.42450983295511
9,48.43806380826533
10,48.42128030370335
11,48.4297117378541
12,2667.9183446175525
