,0
0,0.23333333333333334
1,0.23333333333333334
2,0.13333333333333333
3,0.20666666666666667
4,0.24666666666666667
5,0.24666666666666667
6,0.2733333333333333
7,0.24666666666666667
8,0.21333333333333335
9,0.15333333333333332
10,0.23333333333333334
11,0.24666666666666667
12,0.25333333333333335
13,0.26
14,0.22666666666666666
15,0.25333333333333335
16,0.2
17,0.2
18,0.21333333333333335
19,0.23333333333333334
20,0.22
21,0.20666666666666667
22,0.28
23,0.2
24,0.2
25,0.2
26,0.20666666666666667
27,0.24666666666666667
28,0.22666666666666666
29,0.22
30,0.22
31,0.21333333333333335
32,0.28
33,0.22666666666666666
34,0.21333333333333335
35,0.26666666666666666
36,0.22666666666666666
37,0.24666666666666667
38,0.17333333333333334
39,0.2
40,0.21333333333333335
41,0.20666666666666667
42,0.21333333333333335
43,0.18666666666666668
44,0.2
45,0.23333333333333334
46,0.26666666666666666
47,0.24
48,0.16
49,0.25333333333333335
