,0
0,0.20666666666666667
1,0.18
2,0.16
3,0.20666666666666667
4,0.17333333333333334
5,0.19333333333333333
6,0.26666666666666666
7,0.16
8,0.19333333333333333
9,0.23333333333333334
10,0.14
11,0.18666666666666668
12,0.18
13,0.19333333333333333
14,0.2866666666666667
15,0.20666666666666667
16,0.20666666666666667
17,0.25333333333333335
18,0.18
19,0.12
20,0.2
21,0.18
22,0.21333333333333335
23,0.21333333333333335
24,0.22
25,0.23333333333333334
26,0.21333333333333335
27,0.19333333333333333
28,0.16
29,0.16
30,0.20666666666666667
31,0.22666666666666666
32,0.16666666666666666
33,0.18666666666666668
34,0.15333333333333332
35,0.21333333333333335
36,0.13333333333333333
37,0.13333333333333333
38,0.2
39,0.23333333333333334
40,0.16666666666666666
41,0.16666666666666666
42,0.26
43,0.17333333333333334
44,0.14666666666666667
45,0.19333333333333333
46,0.20666666666666667
47,0.16666666666666666
48,0.16666666666666666
49,0.2
