,reserve,energy
0,5.349948093537597,1.133035185961945
1,5.35167886548132,1.1330351752145718
2,5.362168057336168,1.1330350958855373
3,5.3536720069461925,1.1330351553207572
4,5.355575894808434,1.133035138629168
5,5.361235000903071,1.1330350944540268
6,5.360692798050414,1.1330350938587697
7,5.359582703615792,1.133035102590721
8,5.362798020546881,1.1330350853872524
9,5.3804948488272695,1.1330350495877008
10,5.378336810552328,1.1330349829457411
11,5.375656658884226,1.133035003244914
12,5.374850582640028,1.1330350238009763
13,5.3748505809297,1.133035023788386
