,0
0,0.34
1,0.35333333333333333
2,0.4266666666666667
3,0.37333333333333335
4,0.38666666666666666
5,0.36
6,0.42
7,0.36
8,0.36
9,0.30666666666666664
10,0.36666666666666664
11,0.4266666666666667
12,0.36666666666666664
13,0.38666666666666666
14,0.4
15,0.36666666666666664
16,0.4866666666666667
17,0.42
18,0.3933333333333333
19,0.3
20,0.3333333333333333
21,0.4
22,0.42
23,0.31333333333333335
24,0.4
25,0.41333333333333333
26,0.38
27,0.37333333333333335
28,0.4066666666666667
29,0.36
30,0.38666666666666666
31,0.37333333333333335
32,0.3933333333333333
33,0.32
34,0.34
35,0.41333333333333333
36,0.38666666666666666
37,0.37333333333333335
38,0.4
39,0.3933333333333333
40,0.38
41,0.35333333333333333
42,0.36666666666666664
43,0.43333333333333335
44,0.35333333333333333
45,0.41333333333333333
46,0.3466666666666667
47,0.42
48,0.43333333333333335
49,0.38
