,0
0,0.13333333333333333
1,0.17333333333333334
2,0.17333333333333334
3,0.18666666666666668
4,0.16
5,0.16
6,0.15333333333333332
7,0.18666666666666668
8,0.16666666666666666
9,0.16
10,0.16666666666666666
11,0.16666666666666666
12,0.14666666666666667
13,0.16
14,0.15333333333333332
15,0.22
16,0.15333333333333332
17,0.18
18,0.18666666666666668
19,0.18
20,0.25333333333333335
21,0.14
22,0.16
23,0.11333333333333333
24,0.18
25,0.16666666666666666
26,0.14
27,0.16666666666666666
28,0.17333333333333334
29,0.22
30,0.13333333333333333
31,0.18
32,0.14666666666666667
33,0.16666666666666666
34,0.22
35,0.18666666666666668
36,0.14666666666666667
37,0.22
38,0.20666666666666667
39,0.20666666666666667
40,0.10666666666666667
41,0.23333333333333334
42,0.14
43,0.22
44,0.18
45,0.16
46,0.15333333333333332
47,0.16
48,0.12666666666666668
49,0.24666666666666667
